iter	Passed	Remaining
0	2	203
1	3	179
2	5	168
3	6	157
4	8	152
5	9	143
6	10	138
7	11	133
8	12	129
9	13	124
10	14	118
11	15	113
12	16	107
13	17	104
14	17	101
15	18	97
16	19	95
17	20	92
18	21	89
19	21	87
20	22	85
21	23	82
22	24	80
23	24	78
24	25	76
25	26	74
26	26	72
27	27	71
28	28	69
29	29	68
30	30	67
31	30	65
32	31	64
33	32	62
34	33	61
35	33	60
36	34	58
37	35	57
38	36	56
39	36	55
40	37	53
41	38	52
42	38	51
43	39	50
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	49	33
60	50	32
61	51	31
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
